Chunk,Cat
Il meurt,SVc
de vieillesse,SP
en tentant,SVc
de fermer,PV
tous les onglets ouverts,SN
par ses parents,SP
,PCTF
Lucas,SN
",",PCTF
35 ans,SN
",",PCTF
est malheureusement décédé,SVc
après avoir tenté,SP
de refermer,PV
les millions,SN
d’onglets ouverts,SP
sur l’ordinateur,SP
de ses parents,SP
.,PCTF
Récit,SN
.,PCTF
Il est 12h30,SVc
le 9 Octobre 2003,SN
quand,CONJ
Lucas Wavelet,SN
",",PCTF
35 ans,SN
",",PCTF
retrouve,SVc
ses parents,SN
pour le traditionnel déjeuner,SP
du dimanche,SP
.,PCTF
Au menu,SP
:,PCTF
épaule,SN
d’agneau,SP
au thym,SP
",",PCTF
pommes sarladaises,SN
",",PCTF
haricots verts,SN
du jardin,SP
et,SP
en dessert,SN
:,PCTF
un flan,SN
.,PCTF
Seulement voilà,SA
",",PCTF
c’est,SVc
après avoir englouti,SP
ce succulent repas,SN
qu’,PR
un véritable drame,SN
se produit,SVc
.,PCTF
“,PCTF
On venait ,SVc
de sortir,PV
de table,SP
et,SP
là,SA
notre père,SN
a demandé,SVc
à mon frère,SP
de l’aider,PV
à comprendre,PV
pourquoi,SA
l’ordinateur,SN
était si lent,SVc
”,PCTF
nous confie,SVc
Justin,SN
",",PCTF
le frère,SN
de Lucas,SP
.,PCTF
“,PCTF
Lucas s'est,SN
assis,SVc
derrière,SP
le bureau,SN
et,SP
c’est,SVc
en ouvrant,SVc
Internet Explorer,SN
qu’,PR
il a découvert,SVc
des milliers,SN
d’onglets ouverts,SP
les uns,SN
à la suite,SP
des autres,SN
.,PCTF
Alors,SA
il,SN
…,PCTF
je,SN
…,PCTF
excusez moi,SVc
”,PCTF
conclut-il,SVc
avant,SP
de quitter précipitamment,PV
la pièce,SN
en éclatant,SVc
en sanglots,SN
.,PCTF
Commence alors,SVc
une véritable mission-suicide,SN
pour Lucas,SP
.,PCTF
Page,SN
après page,SP
",",PCTF
onglet,SN
après onglet,SP
",",PCTF
il se met,SVc
à les fermer,PV
les uns,SN
après les autres,SP
.,PCTF
“,PCTF
Recette,SN
de la charlotte,SP
aux poires,SN
Marmiton,SN
”,PCTF
Clic,SN
.,PCTF
“,PCTF
30 chatons trop mignons coincés,SN
dans un boa,SP
”,PCTF
Clic,SN
.,PCTF
“,PCTF
Jordan Bardella nu,SN
sur une bétonnière”,SP
CLICCLICCLICCLICCLIC,SN
!!,PCTF
Et,SP
de 3,SP
!,PCTF
Ce que,PR
Lucas,SN
ne sait pas,SVc
",",PCTF
c’est,SVc
que,PR
ce ne sont pas,SVc
moins de 8 millions 750 000 onglets,SP
qu’,PR
il reste encore,SVc
à fermer,SP
sur le navigateur,SP
.,PCTF
Animé,SADJ
d’une rage folle,SP
",",PCTF
Lucas,SN
se met,SVc
à cliquer frénétiquement,PV
sur chaque onglet,SP
mais,C
impossible,SADJ
d’en venir,SP
à bout,SP
.,PCTF
Il s’injecte,SVc
alors violemment,C
25cl,SN
d'adrénaline pure,SN
directement dans le thorax,SN
pour augmenter,PV
la cadence,SN
.,PCTF
Une seringue,SN
qu’,PR
il garde,SVc
avec lui,SP
pour les cas,SP
d’urgence,SP
comme celui-ci,C
.,PCTF
C’est inutile,SVc
.,PCTF
Chaque onglet,SN
est immédiatement remplacé,SVc
par un nouveau,SP
.,PCTF
Dans le feu,SP
de l’action,SP
",",PCTF
Lucas,SN
hésite,SVc
à taper,PV
«,PCTF
comment,SA
fermer,SV
tous les onglets,SN
d’un coup,SP
»,PCTF
sur Google,SP
puis,C
se résigne,SVc
réalisant,SVc
que,PR
cela ouvrirait,SVc
un nouvel onglet,SN
.,PCTF
Qu’importe,PR
.,PCTF
De toutes façons,SP
",",PCTF
Lucas en,SN
est sûr,SVc
:,PCTF
il ne doit plus,SVc
en rester tant,SVc
que,PR
ça,SN
.,PCTF
20 ans plus tard,SN
",",PCTF
c’est le corps,SN
totalement desséché,SA
",",PCTF
les joues creusées,SN
",",PCTF
une longue barbe grisonnante,SN
descendant,SVc
jusqu’,SP
aux chevilles,SP
et,SP
une main osseuse,SN
agrippant encore,SVc
la souris,SN
de l’ordinateur,SP
que,PR
les urgences,SN
retrouvent,SVc
Lucas,SN
au domicile,SP
de ses parents,SP
",",PCTF
mort,SADJ
de vieillesse,SP
.,PCTF
Une fin tragique,SN
qui,PR
n'est pas,SVc
sans rappeler,SP
celle,SN
de Firmin Guenier,SP
",",PCTF
retrouvé mort,SADJ
d’épuisement,SP
après avoir tenté,SP
de prononcer correctement,SP
le nom,SN
de,SP
Benedict Cumberbatch,SN
.,PCTF